actual_debt,canonical_claim,usable_revenue,debt_claim_ratio,funding_gap,discount_bps,bonus_output,critical
1090250,1000000,0,1.09025,90250,500,4750,False
1090500,1000000,0,1.0905,90500,500,4763,False
1090750,1000000,0,1.09075,90750,500,4776,False
1091000,1000000,0,1.091,91000,500,4789,False
1091250,1000000,0,1.09125,91250,500,4802,False
1091500,1000000,0,1.0915,91500,500,4815,False
1091750,1000000,0,1.09175,91750,500,4828,False
1092000,1000000,0,1.092,92000,500,4842,False
1092250,1000000,0,1.09225,92250,500,4855,False
1092500,1000000,0,1.0925,92500,500,4868,False
1092750,1000000,0,1.09275,92750,500,4881,False
1093000,1000000,0,1.093,93000,500,4894,False
1093250,1000000,0,1.09325,93250,500,4907,False
1093500,1000000,0,1.0935,93500,500,4921,False
1093750,1000000,0,1.09375,93750,500,4934,False
1094000,1000000,0,1.094,94000,500,4947,False
1094250,1000000,0,1.09425,94250,500,4960,False
1094500,1000000,0,1.0945,94500,500,4973,False
1094750,1000000,0,1.09475,94750,500,4986,False
1095000,1000000,0,1.095,95000,500,5000,False
1095250,1000000,0,1.09525,95250,500,5013,False
1095500,1000000,0,1.0955,95500,500,5026,False
1095750,1000000,0,1.09575,95750,500,5039,False
1096000,1000000,0,1.096,96000,500,5052,False
1096250,1000000,0,1.09625,96250,500,5065,False
1096500,1000000,0,1.0965,96500,500,5078,False
1096750,1000000,0,1.09675,96750,500,5092,False
1097000,1000000,0,1.097,97000,500,5105,False
1097250,1000000,0,1.09725,97250,500,5118,False
1097500,1000000,0,1.0975,97500,500,5131,False
1097750,1000000,0,1.09775,97750,500,5144,False
1098000,1000000,0,1.098,98000,500,5157,False
1098250,1000000,0,1.09825,98250,500,5171,False
1098500,1000000,0,1.0985,98500,500,5184,False
1098750,1000000,0,1.09875,98750,500,5197,False
1099000,1000000,0,1.099,99000,500,5210,False
1099250,1000000,0,1.09925,99250,500,5223,False
1099500,1000000,0,1.0995,99500,500,5236,False
1099750,1000000,0,1.09975,99750,500,5250,False
1100000,1000000,0,1.1,100000,500,5263,False
1100250,1000000,0,1.10025,100250,500,5276,False
1100500,1000000,0,1.1005,100500,500,5289,False
1100750,1000000,0,1.10075,100750,500,5302,False
1101000,1000000,0,1.101,101000,500,5315,False
1101250,1000000,0,1.10125,101250,500,5328,False
1101500,1000000,0,1.1015,101500,500,5342,False
1101750,1000000,0,1.10175,101750,500,5355,False
1102000,1000000,0,1.102,102000,500,5368,False
1102250,1000000,0,1.10225,102250,500,5381,False
1102500,1000000,0,1.1025,102500,500,5394,False
1102750,1000000,0,1.10275,102750,500,5407,False
1103000,1000000,0,1.103,103000,500,5421,False
1103250,1000000,0,1.10325,103250,500,5434,False
1103500,1000000,0,1.1035,103500,500,5447,False
1103750,1000000,0,1.10375,103750,500,5460,False
1104000,1000000,0,1.104,104000,500,5473,False
1104250,1000000,0,1.10425,104250,500,5486,False
1104500,1000000,0,1.1045,104500,500,5500,False
1104750,1000000,0,1.10475,104750,500,5513,False
1105000,1000000,0,1.105,105000,500,5526,False
1105250,1000000,0,1.10525,105250,500,5539,False
1105500,1000000,0,1.1055,105500,500,5552,False
1105750,1000000,0,1.10575,105750,500,5565,False
1106000,1000000,0,1.106,106000,500,5578,False
1106250,1000000,0,1.10625,106250,500,5592,False
1106500,1000000,0,1.1065,106500,500,5605,False
1106750,1000000,0,1.10675,106750,500,5618,False
1107000,1000000,0,1.107,107000,500,5631,False
1107250,1000000,0,1.10725,107250,500,5644,False
1107500,1000000,0,1.1075,107500,500,5657,False
1107750,1000000,0,1.10775,107750,500,5671,False
1108000,1000000,0,1.108,108000,500,5684,False
1108250,1000000,0,1.10825,108250,500,5697,False
1108500,1000000,0,1.1085,108500,500,5710,False
1108750,1000000,0,1.10875,108750,500,5723,False
1109000,1000000,0,1.109,109000,500,5736,False
1109250,1000000,0,1.10925,109250,500,5750,False
1109500,1000000,0,1.1095,109500,500,5763,False
1109750,1000000,0,1.10975,109750,500,5776,False
1110000,1000000,0,1.11,110000,500,5789,False
1110250,1000000,0,1.11025,110250,500,5802,False
1110500,1000000,0,1.1105,110500,500,5815,False
1110750,1000000,0,1.11075,110750,500,5828,False
1111000,1000000,0,1.111,111000,500,5842,False
1111250,1000000,0,1.11125,111250,500,5855,False
1111500,1000000,0,1.1115,111500,500,5868,False
1111750,1000000,0,1.11175,111750,500,5881,False
1112000,1000000,0,1.112,112000,500,5894,False
1112250,1000000,0,1.11225,112250,500,5907,False
1112500,1000000,0,1.1125,112500,500,5921,False
1112750,1000000,0,1.11275,112750,500,5934,False
1113000,1000000,0,1.113,113000,500,5947,False
1113250,1000000,0,1.11325,113250,500,5960,False
1113500,1000000,0,1.1135,113500,500,5973,False
1113750,1000000,0,1.11375,113750,500,5986,False
1114000,1000000,0,1.114,114000,500,6000,False
1114250,1000000,0,1.11425,114250,500,6013,False
1114500,1000000,0,1.1145,114500,500,6026,False
1114750,1000000,0,1.11475,114750,500,6039,False
1115000,1000000,0,1.115,115000,500,6052,False
1115250,1000000,0,1.11525,115250,500,6065,False
1115500,1000000,0,1.1155,115500,500,6078,False
1115750,1000000,0,1.11575,115750,500,6092,False
1116000,1000000,0,1.116,116000,500,6105,False
1116250,1000000,0,1.11625,116250,500,6118,False
1116500,1000000,0,1.1165,116500,500,6131,False
1116750,1000000,0,1.11675,116750,500,6144,False
1117000,1000000,0,1.117,117000,500,6157,False
1117250,1000000,0,1.11725,117250,500,6171,False
1117500,1000000,0,1.1175,117500,500,6184,False
1117750,1000000,0,1.11775,117750,500,6197,False
1118000,1000000,0,1.118,118000,500,6210,False
1118250,1000000,0,1.11825,118250,500,6223,False
1118500,1000000,0,1.1185,118500,500,6236,False
1118750,1000000,0,1.11875,118750,500,6250,False
1119000,1000000,0,1.119,119000,500,6263,False
1119250,1000000,0,1.11925,119250,500,6276,False
1119500,1000000,0,1.1195,119500,500,6289,False
1119750,1000000,0,1.11975,119750,500,6302,False
1120000,1000000,0,1.12,120000,500,6315,False
1120250,1000000,0,1.12025,120250,500,6328,False
1120500,1000000,0,1.1205,120500,500,6342,False
1120750,1000000,0,1.12075,120750,500,6355,False
1121000,1000000,0,1.121,121000,500,6368,False
1121250,1000000,0,1.12125,121250,500,6381,False
1121500,1000000,0,1.1215,121500,500,6394,False
1121750,1000000,0,1.12175,121750,500,6407,False
1122000,1000000,0,1.122,122000,500,6421,False
1122250,1000000,0,1.12225,122250,500,6434,False
1122500,1000000,0,1.1225,122500,500,6447,False
1122750,1000000,0,1.12275,122750,500,6460,False
1123000,1000000,0,1.123,123000,500,6473,False
1123250,1000000,0,1.12325,123250,500,6486,False
1123500,1000000,0,1.1235,123500,500,6500,False
1123750,1000000,0,1.12375,123750,500,6513,False
1124000,1000000,0,1.124,124000,500,6526,False
1124250,1000000,0,1.12425,124250,500,6539,False
1124500,1000000,0,1.1245,124500,500,6552,False
1124750,1000000,0,1.12475,124750,500,6565,False
1125000,1000000,0,1.125,125000,500,6578,True
1125250,1000000,0,1.12525,125250,500,6592,True
1125500,1000000,0,1.1255,125500,500,6605,True
1125750,1000000,0,1.12575,125750,500,6618,True
1126000,1000000,0,1.126,126000,500,6631,True
1126250,1000000,0,1.12625,126250,500,6644,True
1126500,1000000,0,1.1265,126500,500,6657,True
1126750,1000000,0,1.12675,126750,500,6671,True
1127000,1000000,0,1.127,127000,500,6684,True
1127250,1000000,0,1.12725,127250,500,6697,True
1127500,1000000,0,1.1275,127500,500,6710,True
1127750,1000000,0,1.12775,127750,500,6723,True
1128000,1000000,0,1.128,128000,500,6736,True
1128250,1000000,0,1.12825,128250,500,6750,True
1128500,1000000,0,1.1285,128500,500,6763,True
1128750,1000000,0,1.12875,128750,500,6776,True
1129000,1000000,0,1.129,129000,500,6789,True
1129250,1000000,0,1.12925,129250,500,6802,True
1129500,1000000,0,1.1295,129500,500,6815,True
1129750,1000000,0,1.12975,129750,500,6828,True
1130000,1000000,0,1.13,130000,500,6842,True
1130250,1000000,0,1.13025,130250,500,6855,True
1130500,1000000,0,1.1305,130500,500,6868,True
1130750,1000000,0,1.13075,130750,500,6881,True
1131000,1000000,0,1.131,131000,500,6894,True
1131250,1000000,0,1.13125,131250,500,6907,True
1131500,1000000,0,1.1315,131500,500,6921,True
1131750,1000000,0,1.13175,131750,500,6934,True
1132000,1000000,0,1.132,132000,500,6947,True
1132250,1000000,0,1.13225,132250,500,6960,True
1132500,1000000,0,1.1325,132500,500,6973,True
1132750,1000000,0,1.13275,132750,500,6986,True
1133000,1000000,0,1.133,133000,500,7000,True
1133250,1000000,0,1.13325,133250,500,7013,True
1133500,1000000,0,1.1335,133500,500,7026,True
1133750,1000000,0,1.13375,133750,500,7039,True
1134000,1000000,0,1.134,134000,500,7052,True
1134250,1000000,0,1.13425,134250,500,7065,True
1134500,1000000,0,1.1345,134500,500,7078,True
1134750,1000000,0,1.13475,134750,500,7092,True
1135000,1000000,0,1.135,135000,500,7105,True
1135250,1000000,0,1.13525,135250,500,7118,True
1135500,1000000,0,1.1355,135500,500,7131,True
1135750,1000000,0,1.13575,135750,500,7144,True
1136000,1000000,0,1.136,136000,500,7157,True
