marginal_price,ordinary_base,ordinary_quote,inventory_ratio,active_liquidity
0.8480000000000001,260.94604432553604,123.97803506173894,0.4751098464902329,550.0
0.85,260.2429695276202,124.57494515110884,0.478687072228045,550.0
0.8520000000000001,259.542371800295,125.17115340543037,0.48227637182010263,550.0
0.854,258.8442366322976,125.76666229450856,0.4858777770399693,550.0
0.856,258.14854963110145,126.36147427369662,0.48949131983994976,550.0
0.8580000000000001,257.4552965216701,126.9555917840141,0.4931170323517823,550.0
0.86,256.76446314522707,127.54901725226371,0.4967549468873403,550.0
0.8620000000000001,256.07603545804085,128.1417530911471,0.5004050959393413,550.0
0.864,255.38999953022665,128.733801699379,0.5040675121820607,550.0
0.866,254.70634154456167,129.32516546180105,0.5077422284720587,550.0
0.8680000000000001,254.025047795317,129.91584674949314,0.5114292778489073,550.0
0.87,253.34610468710292,130.50584791988481,0.5151286935359322,550.0
0.872,252.66949873372977,131.09517131686513,0.5188405089409581,550.0
0.874,251.9952165570832,131.6838192708907,0.5225647576570606,550.0
0.876,251.32324488601208,132.27179409909394,0.5263014734633319,550.0
0.878,250.65357055523262,132.85909810538902,0.5300506903256458,550.0
0.88,249.98618050424443,133.44573358057727,0.533812442397437,550.0
0.882,249.32106177626073,134.0317028024514,0.5375867640204849,550.0
0.884,248.65820151715167,134.617008035899,0.5413736897257079,550.0
0.886,247.9975869744016,135.2016515330041,0.5451732542339602,550.0
0.888,247.3392054960779,135.78563553314882,0.5489854924568438,550.0
0.89,246.6830445298138,136.36896226311322,0.5528104394975223,550.0
0.892,246.02909162180254,136.95163393717417,0.5566481306515454,550.0
0.894,245.37733441580542,137.5336527572038,0.5604986014076812,550.0
0.8960000000000001,244.72776065217093,138.11502091276623,0.5643618874487545,550.0
0.8979999999999999,244.08035816686572,138.6957405812139,0.5682380246524976,550.0
0.9,243.43511489051866,139.27581392778256,0.5721270490924031,550.0
0.902,242.79201884747505,139.8552431056857,0.5760289970385909,550.0
0.9024999899999999,242.63158215483304,139.99999710526313,0.5770064880338762,550.0
0.90250001,242.63157311561457,140.0000052631579,0.5770065431527641,1000.0
0.904,241.75790477917806,140.78914592037705,0.5823559153069845,1000.0
0.906,240.5963827188338,141.8403227432635,0.5895363892857076,1000.0
0.9079999999999999,239.4387004027838,142.8903399657276,0.5967721163093412,1000.0
0.9099999999999999,238.28483672191817,143.9392014169457,0.6040636214923102,1000.0
0.912,237.13477072923865,144.98691090506586,0.6114114368770173,1000.0
0.914,235.98848163826005,146.0334722173696,0.6188161015469394,1000.0
0.916,234.8459488214321,147.07888912043194,0.6262781617419558,1000.0
0.9179999999999999,233.70715180858252,148.12316536027868,0.6337981709759517,1000.0
0.9199999999999999,232.5720702853738,149.16630466254387,0.6413766901567834,1000.0
0.922,231.44068409178334,150.2083107326244,0.6490142877086196,1000.0
0.924,230.31297322059865,151.24918725583333,0.6567115396967398,1000.0
0.926,229.1889178159317,152.28893789755267,0.6644690299548444,1000.0
0.9279999999999999,228.0684981717496,153.32756630338358,0.6722873502149275,1000.0
0.9299999999999999,226.95169473042534,154.3650760992955,0.6801671002397727,1000.0
0.9319999999999999,225.83848808130227,155.40147089177356,0.6881088879581444,1000.0
0.934,224.72885895927777,156.43675426796563,0.6961133296027321,1000.0
0.936,223.62278824340387,157.47092979582595,0.7041810498509014,1000.0
0.938,222.52025695550117,158.50400102426008,0.712312681968353,1000.0
0.94,221.42124625879347,159.5359714832658,0.7205088679557101,1000.0
